GeneID	SL	SP	XL	XP
Bra024198	0.0570226	0.0700348	0.0439279	0.106379
Bra024199	13.855622	11.501056	15.238004	18.520314
Bra024200	45.0486099	21.5286465103	41.6027123	31.2954854
Bra024201	0	0	0	9.62105
Bra024202	16.9143341	14.3916597	16.8523243	15.8724662
Bra024203	2.8096	1.22056	2.95009	0.917103
Bra024204	14.4641329	13.349958	21.4844882	37.480207
Bra024205	174.926797	328.065048	194.781336	195.617372
Bra024206	0	0	0	0
Bra024207	0	0	0	0
Bra024208	0.009958523349	0.16533223936	0.0034614056	0.5632387
Bra024209	1.262807	1.0790789	1.980848	1.069879
Bra024210	4.69746	3.20927	4.19576	1.82299
Bra024211	29.167987	25.099085	29.765737	24.327913
Bra024212	0	0	0	0
Bra024213	9.00442	23.2109	16.80216	24.7782
Bra024214	17.99988	21.08527	17.99355	13.681932
Bra024215	0.8215248	7.7018661	1.2226150227	21.836177
Bra024216	32.2209	30.1485	29.7299	14.4477
Bra024217	13.44341	12.872037	12.857064	15.282785
Bra024218	0.0757856	0.2665	0.0552936	0.128268
Bra024219	2.4124864	1.854261	0.344707	0.8258478
Bra024220	0	0	0	0
Bra024221	0.0908187	2.726389	0.1152599	3.581209
Bra024222	0	0.129043	0	0.322446
Bra024223	0	0	0	0
Bra024224	0	0.00374269	0	0.00593657
Bra024225	0	0	0	0
Bra024226	0	0.107809548	0.0110548	1.401228
Bra024227	28.8713753	11.1200426	20.2348626	4.4933337
Bra024228	0	0	0	0
Bra024229	0	0	0	0.0241857
Bra024230	7.6196108319	12.72414819	11.5260730154	25.1631877
Bra024231	0.157992	0.20209	0.267302	0.0971718
Bra024232	0.249002	0.209045	0.48595	0.0458247
Bra024233	3.6411352	9.5049545265	8.14744999	12.526536185
Bra024234	17.564385	28.851835	25.017801	35.95219
Bra024235	0.0172205	0.0148398	0.00609421	0.00622795
Bra024236	0.049382	0.0614043	0.0242573	0
Bra024237	0	0.277905	0.1204779	1.01490539
Bra024238	216.165968	98.43025876	179.490926	61.901153
Bra024239	2.17331	2.56414	2.00002	3.36118
Bra024240	44.661373	26.1265073	39.117249	24.8075377
Bra024241	0	0.00574559	0	0.0288277
Bra024242	148.45302	75.98982	146.76052	72.378659
Bra024243	2.688656	2.38989	2.068882	0.9620539
Bra024244	16.806369	14.491589	17.262011	12.103942
Bra024245	20.2030874	13.717441	18.7615176	19.1905924
Bra024246	0.229889	0.531848	0.180424	0.43995
Bra024247	58.094925	35.03144	49.702913	27.0260633
Bra024248	0	0.113282	0.00749476	0.00610021
Bra024249	8.7450064	6.2677989	9.134144	5.9769795
Bra024250	1.274196061	1.8072746	1.314556015	3.0831386
Bra024251	0	0	0	0
Bra024252	0	0	0	0
Bra024253	5.75125353	4.278979	5.14020169	5.3987789
Bra024254	0.2719252	3.011814	1.86889755	9.015253
Bra024255	9.453204	11.094551	11.798702	36.397748
Bra024256	9.212193	13.272431	11.484237	33.03806
Bra024257	0.381086	0.961779	0.960561	4.708725
Bra024258	9.934707	10.814471	10.3936633	8.585306
Bra024259	4.74403	5.1343791	4.830229	3.591471
Bra024260	4.009734	2.3262382	2.9960529	3.4972571
Bra024261	23.25598	70.31911	63.71103	159.57472
